No.,모집시기,모집전형,성별,고교소재지,출신고교유형,졸업년도
1,0,0,0,0,1,1
2,0,1,0,3,0,0
3,1,2,0,0,0,1
4,0,1,1,3,0,0
5,0,1,1,1,0,0
6,0,1,1,1,0,0
7,0,1,1,4,0,0
8,0,0,1,0,0,0
9,1,2,0,3,0,1
10,0,3,0,0,1,1
11,0,3,0,0,3,1
12,2,4,0,0,0,1
13,0,0,0,2,1,1
14,0,0,1,1,0,0
15,0,1,1,1,0,0
16,1,2,0,0,0,1
17,0,0,0,0,0,1
18,2,4,1,5,5,1
19,0,5,1,1,0,1
20,0,1,1,1,0,0
21,0,1,1,1,0,0
22,1,6,0,1,0,1
23,1,2,0,1,0,1
24,0,0,0,1,0,1
25,0,1,0,4,0,0
26,1,2,0,0,1,0
27,0,3,1,3,0,1
28,1,7,1,1,3,0
29,0,3,1,1,0,1
30,1,2,1,1,1,0
31,0,1,1,3,0,0
32,0,0,0,0,0,1
33,0,0,0,0,0,1
34,0,3,1,3,0,0
35,0,3,0,1,0,0
36,1,2,0,0,0,1
37,1,2,0,0,0,1
38,0,5,0,0,0,0
39,1,2,0,0,1,0
40,0,0,1,0,0,0
41,1,2,0,0,1,0
42,0,3,1,1,0,1
43,0,3,0,3,0,0
44,0,3,1,1,0,0
45,1,2,0,1,0,1
46,0,3,0,1,0,0
47,1,2,0,0,1,1
48,1,2,1,0,0,0
49,0,0,0,0,0,1
50,1,2,1,1,1,0
51,0,1,1,4,0,0
52,1,2,0,0,0,1
53,1,2,0,1,0,0
54,1,2,1,0,0,0
55,0,0,1,1,0,1
56,0,1,1,5,0,1
57,1,2,1,0,0,1
58,0,1,1,2,0,0
59,0,1,1,1,0,0
60,0,1,1,0,0,0
61,1,2,0,1,0,1
62,1,2,0,3,0,1
63,1,2,1,4,1,1
64,1,2,0,1,0,1
65,0,3,1,1,0,1
66,0,8,0,2,0,0
67,0,8,0,0,3,0
68,1,2,1,1,0,1
69,0,0,1,2,0,1
70,0,3,0,1,0,0
71,0,3,1,3,1,0
72,0,3,1,1,0,0
73,0,1,1,0,1,0
74,0,1,1,4,0,0
75,0,6,1,1,0,0
76,0,8,1,1,0,0
77,1,7,1,0,3,0
78,0,1,1,4,0,0
79,1,2,1,0,0,1
80,0,3,0,1,0,0
81,0,3,1,5,0,0
82,1,2,0,1,0,1
83,0,3,1,1,0,1
84,0,1,1,3,0,0
85,1,2,0,1,0,1
86,1,2,1,0,0,0
87,0,3,1,2,0,0
88,0,6,0,5,0,0
89,0,3,1,1,0,0
90,0,3,0,4,0,1
91,0,3,1,3,0,0
92,1,2,0,1,0,1
93,0,1,1,0,0,0
94,1,7,1,0,3,1
95,0,0,1,0,0,1
96,0,1,0,4,1,0
97,0,3,1,1,0,0
98,1,2,0,1,0,1
99,0,0,0,3,4,1
100,0,0,1,0,0,0
101,1,2,1,0,0,1
102,1,2,0,0,0,1
103,0,3,0,4,0,1
104,0,1,1,2,0,0
105,1,2,0,1,0,1
106,0,0,1,0,0,0
107,1,2,1,4,0,0
108,0,0,0,0,1,0
109,0,3,0,2,0,0
110,0,0,0,1,0,1
111,0,0,1,1,0,1
112,0,1,0,5,0,0
113,0,0,0,1,0,1
114,1,2,1,3,0,1
115,0,1,1,3,0,0
116,0,0,1,1,0,1
117,0,3,0,0,1,1
118,1,2,0,0,0,0
119,1,2,1,1,0,0
120,0,1,1,1,0,0
121,0,6,0,3,3,0
122,1,2,1,2,1,0
123,0,0,0,1,0,1
124,2,9,0,5,5,1
125,0,0,1,3,1,0
126,1,2,0,1,2,1
127,0,0,1,0,0,0
128,0,6,0,1,0,1
129,0,6,1,1,0,0
130,0,3,0,3,0,0
131,0,1,1,3,0,1
132,1,2,0,1,0,1
133,0,1,1,1,0,0
134,1,2,0,5,2,1
135,1,2,0,0,1,1
136,1,2,0,0,0,0
137,0,0,1,0,0,1
138,1,2,0,2,0,1